species,decimalLatitude,decimalLongitude,eventDate,country,stateProvince,basisOfRecord
Prosopis cineraria,32.730476,-114.634049,2025-10-01T16:29:08,United States of America,Arizona,HUMAN_OBSERVATION
Prosopis cineraria,24.49283,54.356728,2025-10-14T17:01:19,United Arab Emirates,Abu Dhabi,HUMAN_OBSERVATION
Prosopis cineraria,25.225322,55.45002,2025-10-21T16:00:55,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,28.230222,75.633269,2025-11-04T17:47:27,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,24.837835,55.375757,2025-11-15T14:09:12,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,30.90774,75.825519,2025-11-15T17:21:20,India,Punjab,HUMAN_OBSERVATION
Prosopis cineraria,25.994318,50.58304,2025-11-14T12:31:46,Bahrain,Southern,HUMAN_OBSERVATION
Prosopis cineraria,24.994152,55.299363,2025-12-08T16:31:10,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,25.2037,55.440342,2025-12-09T07:30:18,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,23.886075,54.983108,2025-12-20T15:15:22,United Arab Emirates,Abu Dhabi,HUMAN_OBSERVATION
Prosopis cineraria,27.810653,74.435067,2025-12-25T12:00,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,27.810653,74.435067,2025-12-25T10:28,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.877989,75.809618,2025-12-14T13:36,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,24.8893,55.433234,2025-12-24T16:28:13,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,10.70084,76.95585,2024-01-17,India,NA,HUMAN_OBSERVATION
Prosopis cineraria,25.225944,55.447966,2024-01-27T10:37:21,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,24.78198,55.81512,2024-01-19,United Arab Emirates,NA,HUMAN_OBSERVATION
Prosopis cineraria,25.220588,55.450165,2024-02-06T15:32:54,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,25.864285,75.231804,2024-02-18T17:24:38,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,25.223604,55.453104,2024-02-27T07:04,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,17.318442,78.403478,2024-02-10,India,Telangana,HUMAN_OBSERVATION
Prosopis cineraria,20.549444,77.039169,2024-03-10T10:54:32,India,Maharashtra,HUMAN_OBSERVATION
Prosopis cineraria,17.50263,78.38629,2024-03-15,India,NA,HUMAN_OBSERVATION
Prosopis cineraria,17.45392,78.35902,2024-03-24,India,NA,HUMAN_OBSERVATION
Prosopis cineraria,21.72738,73.02163,2024-03-16,India,NA,HUMAN_OBSERVATION
Prosopis cineraria,26.470963,73.110472,2024-04-26T07:16:34,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.252707,72.970335,2024-04-29T19:10:04,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,25.303095,55.374226,2024-04-27T21:05:29,United Arab Emirates,Sharjah,HUMAN_OBSERVATION
Prosopis cineraria,24.162725,55.714794,2024-05-25T07:35,United Arab Emirates,Abu Dhabi,HUMAN_OBSERVATION
Prosopis cineraria,25.338021,76.01789,2024-05-24T13:21:53,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,24.70739,46.605543,2024-08-13T12:09:07,Saudi Arabia,Ar Riyad,HUMAN_OBSERVATION
Prosopis cineraria,9.59157,76.52215,2024-08-17,India,NA,HUMAN_OBSERVATION
Prosopis cineraria,17.348728,42.284548,2024-08-08T08:53:45,Saudi Arabia,Jizan,HUMAN_OBSERVATION
Prosopis cineraria,24.959473,55.154608,2024-09-24T08:48:18,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,27.620125,75.109605,2024-10-13T16:24,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,24.95932,55.155027,2024-10-26T08:36:43,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,24.959242,55.155072,2024-10-26T08:41:49,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,24.829756,55.564941,2024-10-20T09:51,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,25.336251,76.014348,2024-11-01T17:37:19,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,24.731237,46.57147,2024-11-24T13:24:36,Saudi Arabia,Ar Riyad,HUMAN_OBSERVATION
Prosopis cineraria,25.218064,55.453324,2024-11-28T08:21:45,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,9.20656,76.60817,2024-11-21,India,NA,HUMAN_OBSERVATION
Prosopis cineraria,27.810803,74.433861,2024-12-01T09:46:44,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,25.573143,75.863487,2024-12-03T11:51,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.824845,70.662368,2024-12-06T12:08:29,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,25.576529,75.872737,2024-12-03T11:50,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,27.014969,71.647033,2024-12-21T09:04:54,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,25.182285,55.24037,2024-12-29T12:12:58,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,25.366762,56.34885,2024-12-29T17:08:06,United Arab Emirates,Sharjah,HUMAN_OBSERVATION
Prosopis cineraria,25.183071,55.240306,2024-12-29T11:59:12,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,24.893685,55.765087,2024-12-28T13:28:07,United Arab Emirates,Sharjah,HUMAN_OBSERVATION
Prosopis cineraria,24.893917,55.764753,2024-12-28T13:37:22,United Arab Emirates,Sharjah,HUMAN_OBSERVATION
Prosopis cineraria,9.26476,76.78704,2024-12-19,India,NA,HUMAN_OBSERVATION
Prosopis cineraria,26.36269,70.501322,2024-12-28T17:00,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.36276,70.491507,2024-12-28T16:49,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,25.551385,55.819312,2024-12-22T14:43,United Arab Emirates,Umm Al Qaywayn,HUMAN_OBSERVATION
Prosopis cineraria,25.553826,55.81805,2024-12-22T11:42,United Arab Emirates,Umm Al Qaywayn,HUMAN_OBSERVATION
Prosopis cineraria,27.979475,73.363097,2024-12-21T16:17:06,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,25.069614,55.24307,2023-01-17T11:30:48,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,25.191773,55.310772,2023-01-04T10:10:05,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,24.788014,55.605609,2023-01-05T16:51:24,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,24.796384,55.610845,2023-01-05T08:34:57,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,25.143651,55.865369,2023-03-18T11:46,United Arab Emirates,Sharjah,HUMAN_OBSERVATION
Prosopis cineraria,25.03422,56.196717,2023-03-21T11:14,United Arab Emirates,Ras Al Khaymah,HUMAN_OBSERVATION
Prosopis cineraria,25.262466,55.664171,2023-03-22T08:31,United Arab Emirates,Sharjah,HUMAN_OBSERVATION
Prosopis cineraria,24.45413,54.378978,2023-03-14T12:19:44,United Arab Emirates,Abu Dhabi,HUMAN_OBSERVATION
Prosopis cineraria,24.291419,52.638231,2023-03-08T09:44,United Arab Emirates,Abu Dhabi,HUMAN_OBSERVATION
Prosopis cineraria,26.825587,76.695228,2023-03-21T10:00:02,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,24.850834,55.701402,2023-04-06T07:09:11,United Arab Emirates,Sharjah,HUMAN_OBSERVATION
Prosopis cineraria,25.377503,76.006005,2023-04-28T11:01:23,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,24.801422,55.624988,2023-04-17T17:10:13,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,25.994205,50.582878,2023-05-22T12:22:10,Bahrain,Southern,HUMAN_OBSERVATION
Prosopis cineraria,26.843606,75.802418,2023-06-21T16:01,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.843585,75.802405,2023-07-09T18:38:29,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,25.397226,55.715846,2023-07-22T22:11,United Arab Emirates,Sharjah,HUMAN_OBSERVATION
Prosopis cineraria,9.43883,77.56629,2023-07-15,India,NA,HUMAN_OBSERVATION
Prosopis cineraria,9.43883,77.56629,2023-07-15,India,NA,HUMAN_OBSERVATION
Prosopis cineraria,25.673,55.969,2023-07-25,United Arab Emirates,Ras al-Khaymah,MATERIAL_SAMPLE
Prosopis cineraria,26.861264,75.791469,2023-08-07T16:57:40,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.457131,57.895476,2023-08-20T17:13,Iran (Islamic Republic of),Hormozgan,HUMAN_OBSERVATION
Prosopis cineraria,27.512519,57.85161,2023-08-20T11:40,Iran (Islamic Republic of),Kerman,HUMAN_OBSERVATION
Prosopis cineraria,27.532846,57.888773,2023-08-20T11:25,Iran (Islamic Republic of),Kerman,HUMAN_OBSERVATION
Prosopis cineraria,26.842589,75.815347,2023-09-21T12:38,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,23.17712,72.65044,2023-09-13,India,Gujarat,HUMAN_OBSERVATION
Prosopis cineraria,23.154419999999998,72.65347,2023-09-13,India,Gujarat,HUMAN_OBSERVATION
Prosopis cineraria,23.12276,72.61926,2023-09-15,India,Gujarat,HUMAN_OBSERVATION
