species,decimalLatitude,decimalLongitude,eventDate,country,stateProvince,basisOfRecord,wc2.1_10m_bio_1,wc2.1_10m_bio_2,wc2.1_10m_bio_3,wc2.1_10m_bio_4,wc2.1_10m_bio_5,wc2.1_10m_bio_6,wc2.1_10m_bio_7,wc2.1_10m_bio_8,wc2.1_10m_bio_9,wc2.1_10m_bio_10,wc2.1_10m_bio_11,wc2.1_10m_bio_12,wc2.1_10m_bio_13,wc2.1_10m_bio_14,wc2.1_10m_bio_15,wc2.1_10m_bio_16,wc2.1_10m_bio_17,wc2.1_10m_bio_18,wc2.1_10m_bio_19,presence
Prosopis cineraria,25.296671,75.940518,2026-02-08T11:43,India,Rajasthan,HUMAN_OBSERVATION,26.40681266784668,12.712750434875488,38.51239776611328,621.822998046875,42.78125,9.771750450134277,33.009498596191406,28.923458099365234,25.294374465942383,33.736915588378906,18.01150131225586,719,257,3,157.79811096191406,616,10,69,13,1
Prosopis cineraria,24.83751,55.381858,2026-02-22T17:19,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.504228591918945,13.845749855041504,46.51063537597656,625.643310546875,41.969749450683594,12.200750350952148,29.768999099731445,20.294584274291992,32.33150100708008,34.69612503051758,19.434125900268555,124,37,2,100.55680084228516,77,7,11,61,1
Prosopis cineraria,23.258842,69.219445,2026-02-06T08:59:56,India,Gujarat,HUMAN_OBSERVATION,26.25493812561035,12.550374984741211,49.02682113647461,388.3751525878906,36.904998779296875,11.305999755859375,25.5989990234375,28.136959075927734,25.39816665649414,30.1721248626709,20.557958602905273,506,218,0,164.02529907226563,450,3,34,4,1
Prosopis cineraria,23.231141,68.978925,2026-03-28T08:54:30,India,Gujarat,HUMAN_OBSERVATION,26.78026008605957,12.159562110900879,49.5262565612793,384.3265686035156,36.520999908447266,11.969249725341797,24.55175018310547,28.88137435913086,28.70658302307129,30.615665435791016,21.11166763305664,443,186,0,162.34231567382813,396,1,215,4,1
Prosopis cineraria,25.217941,55.44439,2026-03-25T08:23:18,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.32109260559082,12.483570098876953,44.91035461425781,597.59783935546875,40.90594482421875,13.109302520751953,27.796642303466797,20.387123107910156,34.21623611450195,34.21623611450195,19.676313400268555,114,37,0,114.9690933227539,78,3,3,66,1
Prosopis cineraria,18.054199,79.533894,2026-03-18T10:49:44,India,Telangana,HUMAN_OBSERVATION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Prosopis cineraria,24.184988,72.080702,2026-03-18T09:47:03,India,Gujarat,HUMAN_OBSERVATION,26.73165512084961,14.45356273651123,47.46849060058594,482.14361572265625,40.620750427246094,10.17199993133545,30.448749542236328,28.727582931518555,26.12583351135254,32.18658447265625,20.06708335876465,540,209,1,154.9770050048828,468,6,45,6,1
Prosopis cineraria,24.392728,54.647713,2026-03-27T12:46:17,United Arab Emirates,Abu Dhabi,HUMAN_OBSERVATION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Prosopis cineraria,24.801029,55.623178,2026-03-29T10:41:50,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.478666305541992,14.009333610534668,46.41926574707031,636.834716796875,42.033748626708984,11.853750228881836,30.17999839782715,23.325082778930664,32.19704055786133,34.77370834350586,19.22974967956543,138,39,2,95.8483657836914,84,10,13,64,1
Prosopis cineraria,24.959504,55.154867,2026-04-03T12:18:16,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.711444854736328,12.973234176635742,45.256282806396484,610.9986572265625,41.73100662231445,13.064857482910156,28.666149139404297,20.608224868774414,33.3464241027832,34.692893981933594,19.850645065307617,95,31,0,111.7878646850586,65,4,4,52,1
Prosopis cineraria,19.209939,73.017439,2026-04-25T09:04:07,India,Maharashtra,HUMAN_OBSERVATION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Prosopis cineraria,24.851864,55.26934,2026-04-24T08:14:43,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.6174373626709,13.582708358764648,46.142791748046875,621.57647705078125,41.95225143432617,12.515999794006348,29.43625259399414,20.436500549316406,32.52879333496094,34.749542236328125,19.608917236328125,108,34,1,105.8300552368164,70,6,7,56,1
Prosopis cineraria,24.155834,55.680307,2026-04-26T06:31:59,United Arab Emirates,Abu Dhabi,HUMAN_OBSERVATION,27.867813110351563,13.060250282287598,43.27344512939453,658.74127197265625,42.4067497253418,12.22599983215332,30.180749893188477,23.888792037963867,35.33112335205078,35.33112335205078,19.28058433532715,126,38,1,104.44659423828125,83,5,5,60,1
Prosopis cineraria,24.445672,54.389685,2026-04-24T08:21:38,United Arab Emirates,Abu Dhabi,HUMAN_OBSERVATION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
